property_type,sector,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
0,21,3,3,4,1,0,1611.111111111111,0,0,0,2,1.6
0,69,2,2,2,2,1,1277.7777777777778,0,0,0,2,1.47
1,13,2,5,3,2,3,800.0,0,0,0,1,0.9
0,86,3,3,2,1,4,1672.0,0,0,0,2,1.92
0,97,2,2,2,2,3,1190.0,1,1,0,2,1.2
0,89,3,3,2,2,3,1361.6666666666663,0,0,0,2,1.35
0,10,3,4,2,2,1,2003.0,0,0,0,2,2.9
0,69,2,2,2,2,4,1277.7777777777778,0,0,0,1,1.6
0,44,2,2,2,1,4,859.5238095238094,0,0,0,1,0.8
0,71,4,4,4,2,1,3150.0,0,0,2,2,4.49
1,60,5,5,4,1,0,2646.0,0,0,2,1,4.65
1,79,3,5,3,2,0,600.0,0,0,0,1,0.75
0,107,2,2,2,2,3,744.4444444444445,0,0,0,1,0.48
0,75,3,3,3,1,3,2047.0,0,0,2,1,2.9
0,92,3,3,4,2,3,1650.0,1,0,1,1,2.12
0,26,2,2,2,2,2,1255.5555555555554,0,0,0,1,0.8
0,80,4,5,4,2,0,2169.047619047619,1,0,2,0,2.0
0,111,2,2,3,1,1,1175.97,0,0,0,1,1.05
0,104,2,2,4,2,0,1270.2857142857142,0,0,0,2,0.96
0,43,3,3,1,2,1,1642.1428571428569,1,0,0,1,0.99
1,55,8,8,3,2,0,2880.0,1,1,1,0,4.5
0,105,3,3,2,0,4,140.0,0,0,0,1,0.7
0,93,2,2,3,1,0,1150.0,0,0,0,2,0.67
0,98,4,4,4,0,0,2138.8571428571427,1,0,0,2,1.54
1,45,3,2,2,1,0,1722.0,0,0,0,1,3.5
0,83,4,5,2,2,0,2628.333333333333,1,0,0,1,4.0
0,98,3,4,3,2,3,1714.5238095238094,1,0,0,2,1.65
0,105,4,5,4,0,3,1895.0,0,0,0,1,0.95
1,29,3,3,1,1,2,540.0,0,0,0,1,1.45
0,89,3,4,4,0,3,1416.2547619047618,1,0,2,0,1.5
0,10,3,3,2,0,1,2119.8571428571427,1,0,0,2,3.75
0,10,4,4,4,2,3,2500.0,1,0,2,0,2.0
0,101,3,2,0,2,1,1423.0,0,0,0,1,1.71
0,70,4,6,3,0,3,3931.6666666666665,1,1,2,0,9.14
1,57,5,5,3,1,0,3240.0,1,0,0,2,10.55
0,78,2,3,1,1,3,1221.428571428571,0,0,0,0,1.2
0,87,2,2,2,2,3,1162.6507936507935,0,0,2,1,0.8
0,96,3,3,4,2,3,1560.7142857142856,0,0,0,2,0.85
0,61,3,3,4,2,0,2250.0,0,0,2,2,1.59
1,53,8,6,4,2,0,3240.0,1,0,2,1,8.81
0,97,4,5,4,2,3,2544.190476190476,0,0,0,2,2.2
0,101,3,3,3,1,1,1944.4444444444443,0,0,0,1,1.5
0,16,3,5,2,2,3,2800.0,1,0,0,2,3.65
0,110,4,3,3,1,2,2006.6666666666663,1,0,2,1,1.25
0,80,3,5,3,2,0,1527.142857142857,1,0,0,2,1.67
0,78,4,4,2,1,3,1818.5714285714284,0,0,0,2,1.68
0,43,3,3,3,1,4,1500.0,0,0,0,2,0.9
0,79,3,2,1,2,3,1100.0,0,0,2,2,0.8
0,9,3,3,4,2,3,1554.0,0,0,2,0,1.3
0,80,4,5,4,1,3,2171.428571428571,1,0,2,1,2.0
0,20,3,4,4,2,2,1955.5555555555557,0,0,0,1,2.2
0,78,4,4,2,1,3,1818.5714285714284,0,0,0,2,1.7
1,31,5,5,2,2,3,1783.0,1,0,0,1,7.0
0,97,2,2,3,0,3,1400.0,0,0,0,2,1.4
0,4,3,3,3,1,3,1530.857142857143,0,0,0,0,1.8
0,44,3,2,3,0,4,1538.0952380952378,0,0,0,2,1.02
1,13,3,2,1,1,3,127.77777777777776,0,0,0,2,0.44
0,95,3,3,3,2,3,1600.0,1,0,2,0,1.75
0,111,2,2,1,2,3,535.2050277777778,0,0,0,2,0.26
0,41,2,2,2,2,3,856.2698412698412,0,0,0,1,0.75
